record_id,product_key,supplier_key,shipping_key,location_key,availability,number_of_products_sold,revenue_generated,customer_demographics,stock_levels,lead_times,order_quantities,shipping_times,shipping_costs,production_volumes,manufacturing_lead_time,manufacturing_costs,inspection_results,defect_rates,costs,order_fill_rate,inventory_turnover,on_time_delivery_flag,warehouse_utilization_pct,profit,profit_margin_pct,total_shipping_cost,is_defective_batch,quality_pass_flag
56,56,20,29,3,16,701,2925.6751703038126,Male,97,11,11,5,5.014364955030907,918,5,30.3235452566165,Fail,4.548919659396385,323.01292795247883,100.0,7.22680412371134,1,89.81481481481481,2602.6622423513336,88.95937145616422,3515.069833476666,1,0
57,57,2,30,1,90,93,4767.020484344137,Non-binary,25,23,83,5,1.7744297140717396,826,28,12.836284572832753,Pass,1.173755495387454,832.2108087060217,100.0,3.72,1,23.14814814814815,3934.8096756381156,82.54232782428414,165.02196340867178,0,1
58,58,20,21,3,65,227,1605.8669003924058,Unknown,5,18,51,1,9.16055853538187,588,25,67.77962298707814,Pending,2.511174830212707,482.1912386025281,100.0,45.4,1,8.928571428571429,1123.6756617898777,69.97315042207416,2079.4467875316845,1,0
59,59,23,2,3,81,896,2021.149810337108,Non-binary,10,5,44,7,4.93843856471209,396,7,65.04741509469146,Fail,1.7303747198591968,110.36433523136472,100.0,89.6,0,18.51851851851852,1910.7854751057432,94.53952722025306,4424.840953982033,0,0
60,60,12,14,2,30,484,1061.618523013288,Non-binary,100,16,26,7,7.293722596867728,176,4,1.900762243519458,Fail,0.4471940154638232,312.5742736100933,100.0,4.84,0,79.36507936507937,749.0442494031947,70.55681802509574,3530.1617368839807,0,0
61,61,7,4,1,16,380,8864.084349586436,Female,41,27,72,8,4.3813681581023145,929,24,87.21305781513568,Fail,2.853090616649054,430.1690969751365,100.0,9.268292682926829,0,36.283185840707965,8433.9152526113,95.14705546551792,1664.9199000788794,1,0
62,62,10,20,2,23,117,6885.589350896253,Unknown,32,23,36,7,9.030340422521949,480,12,78.7023939688789,Fail,4.367470538205053,164.36652824341942,100.0,3.65625,0,47.05882352941176,6721.222822652833,97.61289092527679,1056.549829435068,1,0
63,63,21,24,1,89,270,3899.746833729224,Unknown,86,2,40,7,7.291701388776776,751,14,21.048642725168644,Pass,1.8740014040443749,320.8465157591116,100.0,3.13953488372093,1,68.25396825396825,3578.900317970112,91.77263218770807,1968.7593749697294,0,1
64,64,24,25,4,55,246,4256.949140850225,Non-binary,54,19,10,4,2.45793352798733,736,10,20.075003975630484,Pending,3.6328432903821337,687.2861778664173,100.0,4.555555555555555,1,84.375,3569.662962983808,83.85495914735904,604.6516478848832,1,0
65,65,4,15,3,11,134,8458.730878367178,Female,73,27,75,6,4.585353468194652,328,6,8.693042425877287,Fail,0.1594863147175146,771.2250846811575,100.0,1.8356164383561644,0,49.32432432432432,7687.50579368602,90.88249649065523,614.4373647380834,0,0
66,66,3,31,2,72,457,8354.579686481995,Male,57,24,54,8,6.580541347884595,358,21,1.5972227430506774,Fail,4.911095954842331,555.8591036717435,100.0,8.017543859649123,0,51.35135135135135,7798.7205828102515,93.34665387690127,3007.30739598326,1,0
67,67,3,28,2,52,704,8367.721618020154,Female,13,17,19,8,2.2161427287713638,867,28,42.08443673830996,Fail,3.4480632883402618,393.8433485784279,100.0,54.15384615384615,0,40.625,7973.878269441726,95.29330244770244,1560.1644810550401,1,0
68,68,2,24,1,16,513,9473.798032508335,Unknown,12,9,71,9,9.147811544710631,198,11,7.057876146978231,Pass,0.1319554443118148,169.2718013847869,100.0,42.75,0,14.457831325301203,9304.52623112355,98.21326356331485,4692.827322436554,0,1
69,69,17,21,4,29,163,3550.218432780992,Non-binary,0,8,58,8,1.1942518648849991,375,18,97.1135815634622,Fail,1.98346787217418,299.7063031181032,100.0,,0,0.0,3250.5121296628886,91.55808836012001,194.66305397625484,0,0
70,70,10,14,2,62,511,1752.3810874841247,Non-binary,95,1,27,3,9.705286790120349,862,7,77.62776581274817,Pending,1.3623879886491086,207.6632062085756,100.0,5.378947368421053,1,77.8688524590164,1544.7178812755492,88.14965490715747,4959.401549751498,0,0
71,71,13,8,4,90,32,7014.887987203389,Female,10,12,22,4,6.315717754600723,775,16,11.440781823761265,Pass,1.8305755986122316,183.272898748711,100.0,3.2,1,31.25,6831.615088454678,97.38737241303014,202.10296814722312,0,1
72,72,17,28,4,14,637,8180.337085425443,Female,76,2,26,6,9.228190317052515,258,10,30.66167747785956,Pending,2.078750607874969,405.1670678888559,100.0,8.381578947368421,0,74.50980392156863,7775.170017536587,95.04706146387629,5878.357231962453,0,0
73,73,13,10,4,88,478,2633.121981312256,Non-binary,57,29,77,9,6.599614159689544,152,11,55.76049289524421,Pending,3.213329607438309,677.9445698461833,100.0,8.385964912280702,0,42.53731343283582,1955.177411466073,74.25320305486495,3154.615568331602,1,0
74,74,15,6,5,41,375,7910.886916140686,Male,17,25,66,5,1.5129368369160772,444,4,46.87023879761716,Fail,4.620546064513706,866.4728001296578,100.0,22.058823529411764,0,20.481927710843372,7044.4141160110275,89.0470839829377,567.3513138435289,1,0
75,75,25,19,3,64,904,5709.945295969287,Female,41,6,1,5,5.237654650037448,919,9,80.58085215644782,Fail,0.3966127241099354,341.55265678322337,100.0,22.048780487804876,1,97.61904761904762,5368.392639186064,94.01828495582384,4734.839803633853,0,0
76,76,14,15,5,29,106,1889.073589779335,Non-binary,16,20,56,10,2.473897761045461,759,11,48.06478264000659,Pass,2.030069088668752,873.1296480176514,100.0,6.625,0,22.22222222222222,1015.9439417616835,53.78000874388156,262.23316267081884,0,1
77,77,17,19,4,23,241,5328.375984297758,Male,38,1,22,10,7.054538336836926,985,24,64.32359779560022,Pending,2.1800374515822165,997.4134501331946,100.0,6.342105263157895,0,63.33333333333333,4330.962534164563,81.28109853598016,1700.1437391776992,1,0
78,78,12,1,2,14,359,2483.7601775427947,Unknown,96,28,57,4,6.780946625617895,334,5,42.95244474899184,Pass,3.055141818307548,852.56809891985,100.0,3.7395833333333335,1,62.745098039215684,1631.1920786229448,65.67429872543883,2434.3598385968244,1,1
79,79,18,32,1,50,946,1292.4584179377562,Unknown,5,4,51,5,8.46704977086199,858,21,71.12651472040338,Pending,4.096881332470452,323.59220343132216,100.0,189.2,1,8.928571428571429,968.8662145064341,74.96304724854164,8009.829083235443,1,0
80,80,24,3,4,56,198,7888.723268427081,Non-binary,31,25,20,1,6.4963253642950445,228,12,57.87090292403628,Pending,0.1658716274806082,351.50421933503867,100.0,6.387096774193548,1,60.78431372549019,7537.219049092042,95.54421916735424,1286.2724221304188,0,0
81,81,19,9,5,75,872,8651.672682982065,Unknown,39,14,41,2,2.8331846794189746,202,5,76.96122802382001,Fail,2.8496621985053308,787.7798504943445,100.0,22.358974358974358,1,48.75,7863.892832487721,90.89447926013294,2470.537040453346,1,0
82,82,23,33,3,9,774,4384.413400045863,Unknown,48,6,8,5,4.066277501512044,698,1,19.789592941903603,Pending,2.547547121548712,276.77833594679885,100.0,16.125,1,85.71428571428571,4107.635064099065,93.68722082767324,3147.298786170322,1,0
83,83,21,16,1,13,336,2943.3818676094515,Unknown,42,19,72,1,4.70818187354193,955,26,4.46527843494324,Pending,4.137877048622357,589.9785556280407,100.0,8.0,1,36.84210526315789,2353.4033119814108,79.95575898185416,1581.9491095100884,1,0
84,84,13,6,4,82,663,2411.754632110491,Unknown,65,24,7,8,4.949839577996949,443,5,97.73059380053304,Fail,0.7730061340672478,682.9710182260933,100.0,10.2,0,90.27777777777779,1728.7836138843977,71.68157120409735,3281.743640211977,0,0
85,85,16,17,5,99,618,2048.2900998487103,Unknown,73,26,80,10,8.381615624922631,589,22,33.808636513209095,Pass,4.843456577118041,465.457005963688,100.0,8.465753424657533,0,47.712418300653596,1582.8330938850222,77.27582601712191,5179.838456202186,1,1
86,86,16,11,5,83,25,8684.613059253858,Female,15,18,66,2,8.249168704871728,211,2,69.9293455186723,Fail,1.3744289997457582,842.6868300046415,37.878787878787875,1.6666666666666667,1,18.51851851851852,7841.926229249216,90.29678323887188,206.2292176217932,0,0
87,87,2,21,1,18,223,1229.5910285649834,Unknown,32,14,22,6,1.4543053101535517,569,18,74.60896999519468,Pass,2.0515129307662465,264.2548898358665,100.0,6.96875,1,59.25925925925925,965.3361387291169,78.50871682560421,324.310084164242,0,1
88,88,19,29,5,24,79,5133.846701086692,Male,5,7,55,10,6.575803797548535,523,17,28.69699682414317,Fail,3.693737787839276,879.3592177349243,100.0,15.8,0,8.333333333333332,4254.487483351767,82.87133860953058,519.4885000063343,1,0
89,89,21,25,1,58,737,9444.74203306298,Male,60,18,85,7,3.8012531329310777,953,11,68.18491905704117,Pending,0.722204401882931,103.91624796070496,100.0,12.283333333333333,1,41.37931034482759,9340.825785102274,98.89974498406701,2801.5235589702042,0,0
90,90,12,33,2,10,134,5924.682566853231,Unknown,90,1,27,8,9.92981624527726,370,11,46.60387338164447,Pending,1.9076657339590744,517.4999739290605,100.0,1.488888888888889,0,76.92307692307693,5407.18259292417,91.26535526435943,1330.595376867153,0,0
91,91,24,33,4,56,320,9592.633570280312,Non-binary,66,18,96,7,7.674430708112694,585,8,85.67596333579797,Pass,1.2193822244013883,990.0784725058112,100.0,4.848484848484849,1,40.74074074074074,8602.5550977745,89.67876271670325,2455.817826596062,0,1
92,92,25,33,3,90,916,1935.206793507599,Male,98,22,85,7,7.471514084401146,207,28,39.772882502339975,Pending,0.6260018582093946,996.7783149506238,100.0,9.346938775510203,1,53.551912568306015,938.4284785569753,48.492413405394046,6843.9069013114495,0,0
93,93,21,33,1,44,276,2100.1297546259366,Male,90,25,10,8,4.469500026123601,671,29,62.61269039561434,Pass,0.3334318252247392,230.0927825367629,100.0,3.066666666666667,0,90.0,1870.0369720891736,89.04387778755385,1233.582007210114,0,1
94,94,15,20,5,88,114,4531.4021336919095,Unknown,63,17,66,1,7.0064320590043945,824,20,35.63365234334388,Fail,4.165781795424145,823.5238458881558,100.0,1.8095238095238095,1,48.837209302325576,3707.8782878037537,81.82629081261436,798.733254726501,1,0
95,95,20,33,3,97,987,7888.356546661873,Unknown,77,26,72,9,6.942945942032581,908,14,60.38737861486212,Pass,1.4636074984727798,846.6652569866948,100.0,12.818181818181818,0,51.67785234899329,7041.691289675178,89.2668992333393,6852.687644786157,0,1
96,96,7,14,1,65,672,7386.363944048664,Unknown,15,14,26,9,8.630338869602754,450,26,58.89068576858998,Pending,1.2108821295850665,778.8642413766479,100.0,44.8,0,36.58536585365854,6607.499702672016,89.45537686368414,5799.587720373051,0,0
97,97,1,23,1,29,324,7698.424765632117,Non-binary,67,2,32,3,5.352878043996809,648,28,17.80375633139127,Pending,3.872047681482133,188.74214114905695,100.0,4.835820895522388,1,67.67676767676768,7509.68262448306,97.54830180335523,1734.3324862549662,1,0
98,98,7,28,1,56,62,4370.916579984536,Male,46,19,4,9,7.904845611209675,535,13,65.76515592636746,Fail,3.376237834717981,540.1324228679678,100.0,1.3478260869565217,0,92.0,3830.784157116568,87.64258221396028,490.1004278949998,1,0
99,99,16,21,5,43,913,8525.952559683526,Female,53,1,27,7,1.409801095138073,581,9,5.604690864371781,Pending,2.908122169351261,882.1988635470415,100.0,17.22641509433962,1,66.25,7643.753696136485,89.65278240323931,1287.1483998610606,1,0
100,100,8,33,5,17,627,9185.185829181704,Unknown,55,8,59,6,1.3110237561206226,921,2,38.07289852062604,Fail,0.3460272907055034,210.74300896424612,100.0,11.4,1,48.24561403508772,8974.442820217459,97.70562062778625,822.0118950876304,0,0
